unique_id,ds,XGBRegressor,y
aguas_claras,2023-12-18,3.1054697,3.0
aguas_claras,2023-12-19,2.717628,3.0
aguas_claras,2023-12-20,2.4637966,2.0
aguas_claras,2023-12-21,2.4160037,3.0
aguas_claras,2023-12-22,2.3799806,2.0
aguas_claras,2023-12-23,2.2119439,3.0
aguas_claras,2023-12-24,2.2157829,0.0
aguas_claras,2023-12-25,3.1734743,2.0
aguas_claras,2023-12-26,2.9505572,6.0
aguas_claras,2023-12-27,2.679021,3.0
aguas_claras,2023-12-28,2.6968508,3.0
aguas_claras,2023-12-29,2.5885272,0.0
aguas_claras,2023-12-30,2.3155816,3.0
aguas_claras,2023-12-31,2.040602,1.0
aguas_claras,2024-01-01,3.7409205,1.0
aguas_claras,2024-01-02,3.7809176,1.0
aguas_claras,2024-01-03,4.0535374,1.0
aguas_claras,2024-01-04,3.218515,5.0
aguas_claras,2024-01-05,3.757208,4.0
aguas_claras,2024-01-06,3.6023824,1.0
aguas_claras,2024-01-07,3.5426426,2.0
aguas_claras,2024-01-08,4.5697207,7.0
aguas_claras,2024-01-09,4.845418,6.0
aguas_claras,2024-01-10,4.2407084,3.0
aguas_claras,2024-01-11,5.0452404,3.0
aguas_claras,2024-01-12,5.173598,3.0
aguas_claras,2024-01-13,4.506467,5.0
aguas_claras,2024-01-14,4.1020083,2.0
aguas_claras,2024-01-15,5.639334,5.0
aguas_claras,2024-01-16,5.2380915,4.0
aguas_claras,2024-01-17,5.92994,8.0
aguas_claras,2024-01-18,5.3152533,8.0
aguas_claras,2024-01-19,5.4765697,4.0
aguas_claras,2024-01-20,5.5056324,4.0
aguas_claras,2024-01-21,4.5022607,3.0
aguas_claras,2024-01-22,6.3193784,6.0
aguas_claras,2024-01-23,6.348627,2.0
aguas_claras,2024-01-24,6.336364,10.0
aguas_claras,2024-01-25,6.3200407,5.0
aguas_claras,2024-01-26,6.7276464,6.0
aguas_claras,2024-01-27,6.245182,4.0
aguas_claras,2024-01-28,5.397309,1.0
aguas_claras,2024-01-29,7.820114,8.0
aguas_claras,2024-01-30,7.5283713,9.0
aguas_claras,2024-01-31,7.326513,11.0
aguas_claras,2024-02-01,6.676706,13.0
aguas_claras,2024-02-02,6.814103,14.0
aguas_claras,2024-02-03,6.041104,6.0
aguas_claras,2024-02-04,5.0211735,6.0
aguas_claras,2024-02-05,7.837146,12.0
aguas_claras,2024-02-06,6.73854,21.0
aguas_claras,2024-02-07,6.2732434,18.0
aguas_claras,2024-02-08,6.295113,23.0
aguas_claras,2024-02-09,6.575553,16.0
aguas_claras,2024-02-10,5.64706,13.0
aguas_claras,2024-02-11,4.6898584,3.0
aguas_claras,2024-02-12,7.4754167,10.0
aguas_claras,2024-02-13,6.6240044,13.0
aguas_claras,2024-02-14,6.025915,30.0
aguas_claras,2024-02-15,5.981848,31.0
aguas_claras,2024-02-16,6.1071267,31.0
aguas_claras,2024-02-17,5.4831114,18.0
aguas_claras,2024-02-18,4.42884,12.0
arniqueira,2023-12-02,1.4879012,0.0
arniqueira,2023-12-03,1.425936,0.0
arniqueira,2023-12-04,1.9298244,0.0
arniqueira,2023-12-05,1.6783233,0.0
arniqueira,2023-12-06,1.6698799,0.0
arniqueira,2023-12-07,1.7209771,0.0
arniqueira,2023-12-08,1.6614938,0.0
arniqueira,2023-12-09,1.5837269,0.0
arniqueira,2023-12-10,1.3981607,0.0
arniqueira,2023-12-11,2.1512275,0.0
arniqueira,2023-12-12,1.9173949,0.0
arniqueira,2023-12-13,1.8385305,0.0
arniqueira,2023-12-14,1.8518903,0.0
arniqueira,2023-12-15,1.7924078,0.0
arniqueira,2023-12-16,1.6193106,0.0
arniqueira,2023-12-17,1.4872408,0.0
arniqueira,2023-12-18,2.1964116,0.0
arniqueira,2023-12-19,1.9473205,0.0
arniqueira,2023-12-20,1.880399,0.0
arniqueira,2023-12-21,1.8518903,0.0
arniqueira,2023-12-22,1.7924078,1.0
arniqueira,2023-12-23,1.6193106,0.0
arniqueira,2023-12-24,1.4872408,0.0
arniqueira,2023-12-25,2.0993695,0.0
arniqueira,2023-12-26,1.9473205,0.0
arniqueira,2023-12-27,1.880399,1.0
arniqueira,2023-12-28,1.8518903,0.0
arniqueira,2023-12-29,1.8342767,0.0
arniqueira,2023-12-30,1.6193106,0.0
arniqueira,2023-12-31,1.4511528,1.0
arniqueira,2024-01-01,2.4394455,0.0
arniqueira,2024-01-02,2.038354,0.0
arniqueira,2024-01-03,2.00949,0.0
arniqueira,2024-01-04,1.99676,0.0
arniqueira,2024-01-05,2.0698445,0.0
arniqueira,2024-01-06,1.9056768,0.0
arniqueira,2024-01-07,1.7699387,0.0
arniqueira,2024-01-08,2.6957726,0.0
arniqueira,2024-01-09,2.1721778,0.0
arniqueira,2024-01-10,2.1317282,0.0
arniqueira,2024-01-11,2.1189976,0.0
arniqueira,2024-01-12,2.2113497,0.0
arniqueira,2024-01-13,2.0350978,0.0
arniqueira,2024-01-14,1.9127941,0.0
arniqueira,2024-01-15,2.6881866,0.0
arniqueira,2024-01-16,2.2515087,0.0
arniqueira,2024-01-17,2.1584253,0.0
arniqueira,2024-01-18,2.1456943,0.0
arniqueira,2024-01-19,2.238047,0.0
arniqueira,2024-01-20,2.0350978,0.0
arniqueira,2024-01-21,1.9127941,0.0
arniqueira,2024-01-22,2.6881866,0.0
arniqueira,2024-01-23,2.2515087,0.0
arniqueira,2024-01-24,2.1584253,0.0
arniqueira,2024-01-25,2.1456943,0.0
arniqueira,2024-01-26,2.238047,0.0
arniqueira,2024-01-27,2.0350978,0.0
arniqueira,2024-01-28,1.9127941,0.0
arniqueira,2024-01-29,2.6881866,0.0
arniqueira,2024-01-30,2.2515087,0.0
arniqueira,2024-01-31,2.1584253,0.0
arniqueira,2024-02-01,2.0835218,0.0
arniqueira,2024-02-02,2.1758745,0.0
brazlandia,2023-12-18,1.8084631,0.0
brazlandia,2023-12-19,1.599791,0.0
brazlandia,2023-12-20,1.6698799,1.0
brazlandia,2023-12-21,1.5596857,0.0
brazlandia,2023-12-22,1.5548856,0.0
brazlandia,2023-12-23,1.4819007,0.0
brazlandia,2023-12-24,1.3825598,0.0
brazlandia,2023-12-25,2.0808878,0.0
brazlandia,2023-12-26,1.8165536,0.0
brazlandia,2023-12-27,1.7439747,0.0
brazlandia,2023-12-28,1.7744389,0.0
brazlandia,2023-12-29,1.7368698,0.0
brazlandia,2023-12-30,1.6193106,1.0
brazlandia,2023-12-31,1.4872408,2.0
brazlandia,2024-01-01,2.4394455,0.0
brazlandia,2024-01-02,2.0085518,0.0
brazlandia,2024-01-03,1.9706811,0.0
brazlandia,2024-01-04,1.977494,0.0
brazlandia,2024-01-05,2.0698445,0.0
brazlandia,2024-01-06,1.9024489,0.0
brazlandia,2024-01-07,1.7699387,0.0
brazlandia,2024-01-08,2.6614895,2.0
brazlandia,2024-01-09,2.1721778,1.0
brazlandia,2024-01-10,2.1317282,0.0
brazlandia,2024-01-11,2.1189976,0.0
brazlandia,2024-01-12,2.2113497,0.0
brazlandia,2024-01-13,2.0084019,0.0
brazlandia,2024-01-14,1.9127941,0.0
brazlandia,2024-01-15,2.7224698,0.0
brazlandia,2024-01-16,2.2515087,1.0
brazlandia,2024-01-17,2.1584253,1.0
brazlandia,2024-01-18,2.1456943,1.0
brazlandia,2024-01-19,2.238047,1.0
brazlandia,2024-01-20,2.0350978,0.0
brazlandia,2024-01-21,1.9127941,1.0
brazlandia,2024-01-22,2.7224698,1.0
brazlandia,2024-01-23,2.2515087,1.0
brazlandia,2024-01-24,2.1584253,2.0
brazlandia,2024-01-25,2.1456943,3.0
brazlandia,2024-01-26,2.238047,2.0
brazlandia,2024-01-27,2.0350978,0.0
brazlandia,2024-01-28,1.9127941,4.0
brazlandia,2024-01-29,2.6881866,0.0
brazlandia,2024-01-30,2.2515087,6.0
brazlandia,2024-01-31,2.1584253,1.0
brazlandia,2024-02-01,2.0835218,4.0
brazlandia,2024-02-02,2.1758745,5.0
brazlandia,2024-02-03,1.9637778,2.0
brazlandia,2024-02-04,1.7286726,4.0
brazlandia,2024-02-05,2.4553342,3.0
brazlandia,2024-02-06,2.1552162,8.0
brazlandia,2024-02-07,2.0618162,4.0
brazlandia,2024-02-08,2.0568252,3.0
brazlandia,2024-02-09,2.1542704,3.0
brazlandia,2024-02-10,1.9370812,6.0
brazlandia,2024-02-11,1.7019752,2.0
brazlandia,2024-02-12,2.428637,5.0
brazlandia,2024-02-13,2.1552162,2.0
brazlandia,2024-02-14,2.0669093,3.0
brazlandia,2024-02-15,2.0619183,2.0
brazlandia,2024-02-16,2.1542704,2.0
brazlandia,2024-02-17,1.9338533,3.0
brazlandia,2024-02-18,1.7019752,0.0
candangolandia,2023-12-08,1.770555,0.0
candangolandia,2023-12-09,1.4879012,0.0
candangolandia,2023-12-10,1.425936,0.0
candangolandia,2023-12-11,1.9298244,0.0
candangolandia,2023-12-12,1.7760034,0.0
candangolandia,2023-12-13,1.7398252,0.0
candangolandia,2023-12-14,1.8163078,0.0
candangolandia,2023-12-15,1.7368698,0.0
candangolandia,2023-12-16,1.5837269,0.0
candangolandia,2023-12-17,1.4511528,0.0
candangolandia,2023-12-18,2.1108136,0.0
candangolandia,2023-12-19,1.8854973,0.0
candangolandia,2023-12-20,1.880399,0.0
candangolandia,2023-12-21,1.8518903,0.0
candangolandia,2023-12-22,1.8342767,0.0
candangolandia,2023-12-23,1.6193106,0.0
candangolandia,2023-12-24,1.4511528,0.0
candangolandia,2023-12-25,2.0993695,0.0
candangolandia,2023-12-26,1.9473205,0.0
candangolandia,2023-12-27,1.8185763,0.0
candangolandia,2023-12-28,1.8518903,0.0
candangolandia,2023-12-29,1.7924078,0.0
candangolandia,2023-12-30,1.6193106,1.0
candangolandia,2023-12-31,1.4203088,0.0
candangolandia,2024-01-01,2.409122,0.0
candangolandia,2024-01-02,2.0085518,0.0
candangolandia,2024-01-03,1.9706811,0.0
candangolandia,2024-01-04,1.977494,1.0
candangolandia,2024-01-05,2.0408823,0.0
candangolandia,2024-01-06,1.9056768,0.0
candangolandia,2024-01-07,1.7699387,0.0
candangolandia,2024-01-08,2.6957726,0.0
candangolandia,2024-01-09,2.2148037,1.0
candangolandia,2024-01-10,2.1317282,0.0
candangolandia,2024-01-11,2.1189976,0.0
candangolandia,2024-01-12,2.2113497,0.0
candangolandia,2024-01-13,2.0350978,0.0
candangolandia,2024-01-14,1.9127941,1.0
candangolandia,2024-01-15,2.7224698,0.0
candangolandia,2024-01-16,2.2515087,0.0
candangolandia,2024-01-17,2.1584253,0.0
candangolandia,2024-01-18,2.1456943,0.0
candangolandia,2024-01-19,2.238047,1.0
candangolandia,2024-01-20,2.0350978,1.0
candangolandia,2024-01-21,1.9127941,0.0
candangolandia,2024-01-22,2.6881866,0.0
candangolandia,2024-01-23,2.2515087,2.0
candangolandia,2024-01-24,2.1584253,0.0
candangolandia,2024-01-25,2.1456943,0.0
candangolandia,2024-01-26,2.238047,0.0
candangolandia,2024-01-27,2.0350978,1.0
candangolandia,2024-01-28,1.9127941,1.0
candangolandia,2024-01-29,2.6881866,0.0
candangolandia,2024-01-30,2.2515087,0.0
candangolandia,2024-01-31,2.1584253,0.0
candangolandia,2024-02-01,2.0835218,1.0
candangolandia,2024-02-02,2.1758745,0.0
candangolandia,2024-02-03,1.9637778,1.0
candangolandia,2024-02-04,1.7286726,0.0
candangolandia,2024-02-05,2.4553342,1.0
candangolandia,2024-02-06,2.1552162,1.0
candangolandia,2024-02-07,2.0618162,3.0
candangolandia,2024-02-08,2.0568252,3.0
ceilandia,2023-12-18,2.0518699,1.0
ceilandia,2023-12-19,2.028679,1.0
ceilandia,2023-12-20,1.8065102,5.0
ceilandia,2023-12-21,1.618871,0.0
ceilandia,2023-12-22,1.7368698,1.0
ceilandia,2023-12-23,1.5598807,2.0
ceilandia,2023-12-24,1.3591423,1.0
ceilandia,2023-12-25,2.0436249,1.0
ceilandia,2023-12-26,1.8897481,1.0
ceilandia,2023-12-27,1.8385305,0.0
ceilandia,2023-12-28,1.7343233,1.0
ceilandia,2023-12-29,1.7167089,1.0
ceilandia,2023-12-30,1.4966342,2.0
ceilandia,2023-12-31,1.4511528,0.0
ceilandia,2024-01-01,2.3752637,2.0
ceilandia,2024-01-02,2.0085518,3.0
ceilandia,2024-01-03,1.9796897,3.0
ceilandia,2024-01-04,1.8671772,7.0
ceilandia,2024-01-05,2.0251544,3.0
ceilandia,2024-01-06,1.9056768,2.0
ceilandia,2024-01-07,1.7667108,4.0
ceilandia,2024-01-08,2.4389238,4.0
ceilandia,2024-01-09,2.0136402,3.0
ceilandia,2024-01-10,1.9149021,4.0
ceilandia,2024-01-11,1.8774142,0.0
ceilandia,2024-01-12,2.0451326,2.0
ceilandia,2024-01-13,1.9056768,2.0
ceilandia,2024-01-14,1.7467558,3.0
ceilandia,2024-01-15,2.4692473,5.0
ceilandia,2024-01-16,1.9567732,4.0
ceilandia,2024-01-17,1.9812158,2.0
ceilandia,2024-01-18,1.977494,5.0
ceilandia,2024-01-19,2.1920831,4.0
ceilandia,2024-01-20,2.005174,1.0
ceilandia,2024-01-21,1.8860972,0.0
ceilandia,2024-01-22,2.6614895,3.0
ceilandia,2024-01-23,2.2136035,10.0
ceilandia,2024-01-24,2.1317282,5.0
ceilandia,2024-01-25,2.1456943,7.0
ceilandia,2024-01-26,2.238047,4.0
ceilandia,2024-01-27,2.0350978,5.0
ceilandia,2024-01-28,1.9127941,1.0
ceilandia,2024-01-29,2.6881866,5.0
ceilandia,2024-01-30,2.2515087,5.0
ceilandia,2024-01-31,2.1584253,11.0
ceilandia,2024-02-01,2.0835218,6.0
ceilandia,2024-02-02,2.1758745,9.0
ceilandia,2024-02-03,1.9637778,13.0
ceilandia,2024-02-04,1.7286726,9.0
ceilandia,2024-02-05,2.4553342,14.0
ceilandia,2024-02-06,2.1552162,21.0
ceilandia,2024-02-07,2.0618162,15.0
ceilandia,2024-02-08,2.0568252,9.0
ceilandia,2024-02-09,2.1542704,14.0
ceilandia,2024-02-10,1.9370812,12.0
ceilandia,2024-02-11,1.7019752,12.0
ceilandia,2024-02-12,2.428637,15.0
ceilandia,2024-02-13,2.1552162,7.0
ceilandia,2024-02-14,2.0618162,23.0
ceilandia,2024-02-15,2.0568252,16.0
ceilandia,2024-02-16,2.1542704,19.0
ceilandia,2024-02-17,1.9370812,9.0
ceilandia,2024-02-18,1.7019752,1.0
cruzeiro,2023-12-15,1.5915487,0.0
cruzeiro,2023-12-16,1.4042611,0.0
cruzeiro,2023-12-17,1.425936,0.0
cruzeiro,2023-12-18,1.9572666,0.0
cruzeiro,2023-12-19,1.7341344,1.0
cruzeiro,2023-12-20,1.7960012,0.0
cruzeiro,2023-12-21,1.6707036,1.0
cruzeiro,2023-12-22,1.7368698,0.0
cruzeiro,2023-12-23,1.4777768,0.0
cruzeiro,2023-12-24,1.3981607,0.0
cruzeiro,2023-12-25,2.1512275,0.0
cruzeiro,2023-12-26,1.8054674,0.0
cruzeiro,2023-12-27,1.8385305,0.0
cruzeiro,2023-12-28,1.7900674,1.0
cruzeiro,2023-12-29,1.7924078,0.0
cruzeiro,2023-12-30,1.6193106,0.0
cruzeiro,2023-12-31,1.4511528,0.0
cruzeiro,2024-01-01,2.409122,2.0
cruzeiro,2024-01-02,1.9995431,0.0
cruzeiro,2024-01-03,1.9314598,0.0
cruzeiro,2024-01-04,1.9617655,2.0
cruzeiro,2024-01-05,2.0698445,0.0
cruzeiro,2024-01-06,1.9056768,0.0
cruzeiro,2024-01-07,1.7699387,0.0
cruzeiro,2024-01-08,2.6957726,0.0
cruzeiro,2024-01-09,2.1721778,0.0
cruzeiro,2024-01-10,2.1317282,2.0
cruzeiro,2024-01-11,2.1189976,2.0
cruzeiro,2024-01-12,2.2113497,1.0
cruzeiro,2024-01-13,2.0350978,0.0
cruzeiro,2024-01-14,1.9127941,3.0
cruzeiro,2024-01-15,2.6881866,1.0
cruzeiro,2024-01-16,2.2515087,2.0
cruzeiro,2024-01-17,2.1635184,3.0
cruzeiro,2024-01-18,2.1456943,1.0
cruzeiro,2024-01-19,2.238047,2.0
cruzeiro,2024-01-20,2.0350978,3.0
cruzeiro,2024-01-21,1.9127941,1.0
cruzeiro,2024-01-22,2.7224698,1.0
cruzeiro,2024-01-23,2.2515087,1.0
cruzeiro,2024-01-24,2.1584253,2.0
cruzeiro,2024-01-25,2.1456943,3.0
cruzeiro,2024-01-26,2.238047,1.0
cruzeiro,2024-01-27,2.0350978,1.0
cruzeiro,2024-01-28,1.9127941,0.0
cruzeiro,2024-01-29,2.6881866,2.0
cruzeiro,2024-01-30,2.2515087,0.0
cruzeiro,2024-01-31,2.1584253,0.0
cruzeiro,2024-02-01,2.0835218,2.0
cruzeiro,2024-02-02,2.1758745,1.0
cruzeiro,2024-02-03,1.9637778,3.0
cruzeiro,2024-02-04,1.7286726,1.0
cruzeiro,2024-02-05,2.4553342,2.0
cruzeiro,2024-02-06,2.1125903,3.0
cruzeiro,2024-02-07,2.0618162,7.0
cruzeiro,2024-02-08,2.0568252,4.0
cruzeiro,2024-02-09,2.1542704,2.0
cruzeiro,2024-02-10,1.9370812,1.0
cruzeiro,2024-02-11,1.7019752,1.0
cruzeiro,2024-02-12,2.428637,3.0
cruzeiro,2024-02-13,2.1552162,3.0
cruzeiro,2024-02-14,2.0669093,2.0
cruzeiro,2024-02-15,2.0619183,7.0
fercal,2023-11-20,1.9977801,0.0
fercal,2023-11-21,1.746281,0.0
fercal,2023-11-22,1.7378377,0.0
fercal,2023-11-23,1.6404577,0.0
fercal,2023-11-24,1.7294515,0.0
fercal,2023-11-25,1.6035739,0.0
fercal,2023-11-26,1.5313843,0.0
fercal,2023-11-27,2.2191854,0.0
fercal,2023-11-28,1.9734086,0.0
fercal,2023-11-29,1.9483567,0.0
fercal,2023-11-30,1.9198481,0.0
fercal,2023-12-01,1.8342767,0.0
fercal,2023-12-02,1.6350393,0.0
fercal,2023-12-03,1.502969,0.0
fercal,2023-12-04,2.2262135,0.0
fercal,2023-12-05,1.9771208,0.0
fercal,2023-12-06,1.9102001,0.0
fercal,2023-12-07,1.8676183,0.0
fercal,2023-12-08,1.8342767,0.0
fercal,2023-12-09,1.6193106,0.0
fercal,2023-12-10,1.4872408,0.0
fercal,2023-12-11,2.1964116,0.0
fercal,2023-12-12,1.9473205,0.0
fercal,2023-12-13,1.880399,0.0
fercal,2023-12-14,1.8518903,0.0
fercal,2023-12-15,1.8342767,0.0
fercal,2023-12-16,1.6193106,0.0
fercal,2023-12-17,1.4872408,0.0
fercal,2023-12-18,2.1964116,0.0
fercal,2023-12-19,1.9473205,0.0
fercal,2023-12-20,1.880399,0.0
fercal,2023-12-21,1.8518903,0.0
fercal,2023-12-22,1.8342767,0.0
fercal,2023-12-23,1.6193106,0.0
fercal,2023-12-24,1.4872408,0.0
fercal,2023-12-25,2.1964116,0.0
fercal,2023-12-26,1.9473205,0.0
fercal,2023-12-27,1.880399,0.0
fercal,2023-12-28,1.8518903,0.0
fercal,2023-12-29,1.8342767,0.0
fercal,2023-12-30,1.6193106,0.0
fercal,2023-12-31,1.4872408,0.0
fercal,2024-01-01,2.409122,0.0
fercal,2024-01-02,2.038354,0.0
fercal,2024-01-03,2.00949,0.0
fercal,2024-01-04,1.99676,0.0
fercal,2024-01-05,2.0698445,0.0
fercal,2024-01-06,1.9056768,0.0
fercal,2024-01-07,1.7699387,0.0
fercal,2024-01-08,2.6614895,0.0
fercal,2024-01-09,2.1721778,0.0
fercal,2024-01-10,2.1317282,0.0
fercal,2024-01-11,2.1189976,0.0
fercal,2024-01-12,2.2113497,0.0
fercal,2024-01-13,2.0084019,0.0
fercal,2024-01-14,1.9127941,0.0
fercal,2024-01-15,2.6881866,0.0
fercal,2024-01-16,2.2515087,0.0
fercal,2024-01-17,2.1584253,0.0
fercal,2024-01-18,2.1456943,0.0
fercal,2024-01-19,2.238047,0.0
fercal,2024-01-20,2.0350978,0.0
fercal,2024-01-21,1.9127941,0.0
gama,2023-12-18,1.8867464,1.0
gama,2023-12-19,1.7055857,6.0
gama,2023-12-20,1.6649818,0.0
gama,2023-12-21,1.7918389,0.0
gama,2023-12-22,1.6140707,0.0
gama,2023-12-23,1.5011942,2.0
gama,2023-12-24,1.4650927,0.0
gama,2023-12-25,2.1512275,0.0
gama,2023-12-26,1.8054674,1.0
gama,2023-12-27,1.8029478,0.0
gama,2023-12-28,1.8518903,0.0
gama,2023-12-29,1.7924078,0.0
gama,2023-12-30,1.6193106,0.0
gama,2023-12-31,1.3645644,0.0
gama,2024-01-01,2.4394455,0.0
gama,2024-01-02,1.9795893,1.0
gama,2024-01-03,1.9604236,0.0
gama,2024-01-04,1.9684851,2.0
gama,2024-01-05,2.0608366,0.0
gama,2024-01-06,1.7966881,0.0
gama,2024-01-07,1.7667108,0.0
gama,2024-01-08,2.4389238,1.0
gama,2024-01-09,2.038354,2.0
gama,2024-01-10,2.1356215,0.0
gama,2024-01-11,2.138443,3.0
gama,2024-01-12,2.2113497,0.0
gama,2024-01-13,2.0084019,0.0
gama,2024-01-14,1.8860972,1.0
gama,2024-01-15,2.6957726,2.0
gama,2024-01-16,2.2515087,0.0
gama,2024-01-17,2.1584253,2.0
gama,2024-01-18,2.142383,1.0
gama,2024-01-19,2.238047,3.0
gama,2024-01-20,2.0350978,1.0
gama,2024-01-21,1.9127941,1.0
gama,2024-01-22,2.7224698,6.0
gama,2024-01-23,2.2515087,3.0
gama,2024-01-24,2.1584253,7.0
gama,2024-01-25,2.1456943,3.0
gama,2024-01-26,2.238047,2.0
gama,2024-01-27,2.0350978,4.0
gama,2024-01-28,1.9127941,2.0
gama,2024-01-29,2.6881866,5.0
gama,2024-01-30,2.2515087,5.0
gama,2024-01-31,2.1584253,3.0
gama,2024-02-01,2.0835218,3.0
gama,2024-02-02,2.1758745,6.0
gama,2024-02-03,1.9637778,5.0
gama,2024-02-04,1.7286726,5.0
gama,2024-02-05,2.4553342,14.0
gama,2024-02-06,2.1125903,17.0
gama,2024-02-07,2.0618162,6.0
gama,2024-02-08,2.0568252,10.0
gama,2024-02-09,2.1542704,8.0
gama,2024-02-10,1.9370812,6.0
gama,2024-02-11,1.7019752,6.0
gama,2024-02-12,2.428637,12.0
gama,2024-02-13,2.1552162,6.0
gama,2024-02-14,2.0669093,11.0
gama,2024-02-15,2.0619183,16.0
gama,2024-02-16,2.1542704,7.0
gama,2024-02-17,1.9338533,8.0
gama,2024-02-18,1.7019752,3.0
guara,2023-12-18,3.2013412,2.0
guara,2023-12-19,2.8862982,5.0
guara,2023-12-20,2.6467676,2.0
guara,2023-12-21,2.5475621,1.0
guara,2023-12-22,2.7706866,1.0
guara,2023-12-23,2.1412342,1.0
guara,2023-12-24,1.8551707,2.0
guara,2023-12-25,2.8579779,2.0
guara,2023-12-26,2.4570208,2.0
guara,2023-12-27,2.3164206,1.0
guara,2023-12-28,2.173676,4.0
guara,2023-12-29,2.182589,1.0
guara,2023-12-30,1.728348,0.0
guara,2023-12-31,1.5827677,4.0
guara,2024-01-01,2.637166,1.0
guara,2024-01-02,2.28573,5.0
guara,2024-01-03,2.1368213,4.0
guara,2024-01-04,2.1189976,1.0
guara,2024-01-05,2.208038,1.0
guara,2024-01-06,2.005174,2.0
guara,2024-01-07,1.8860972,1.0
guara,2024-01-08,2.5715399,5.0
guara,2024-01-09,2.2201037,4.0
guara,2024-01-10,2.0894876,5.0
guara,2024-01-11,2.1456943,3.0
guara,2024-01-12,2.196274,5.0
guara,2024-01-13,2.0318701,2.0
guara,2024-01-14,1.8692076,0.0
guara,2024-01-15,2.5548139,0.0
guara,2024-01-16,2.2941346,7.0
guara,2024-01-17,2.1551142,4.0
guara,2024-01-18,2.1507874,7.0
guara,2024-01-19,2.196274,6.0
guara,2024-01-20,2.023466,6.0
guara,2024-01-21,1.9127941,2.0
guara,2024-01-22,2.637166,7.0
guara,2024-01-23,2.2941346,6.0
guara,2024-01-24,2.1635184,6.0
guara,2024-01-25,2.1507874,1.0
guara,2024-01-26,2.24314,4.0
guara,2024-01-27,2.0318701,4.0
guara,2024-01-28,1.9127941,7.0
guara,2024-01-29,2.6881866,8.0
guara,2024-01-30,2.2941346,8.0
guara,2024-01-31,2.1635184,5.0
guara,2024-02-01,2.088615,11.0
guara,2024-02-02,2.1809676,11.0
guara,2024-02-03,1.9637778,9.0
guara,2024-02-04,1.7286726,7.0
guara,2024-02-05,2.4553342,11.0
guara,2024-02-06,2.1552162,14.0
guara,2024-02-07,2.0669093,11.0
guara,2024-02-08,2.0619183,23.0
guara,2024-02-09,2.1542704,19.0
guara,2024-02-10,1.9338533,16.0
guara,2024-02-11,1.7019752,7.0
guara,2024-02-12,2.428637,7.0
guara,2024-02-13,2.1552162,12.0
guara,2024-02-14,2.0669093,34.0
guara,2024-02-15,2.0619183,23.0
guara,2024-02-16,2.1542704,28.0
guara,2024-02-17,1.9338533,26.0
guara,2024-02-18,1.7019752,7.0
itapoa,2023-12-11,1.8594847,0.0
itapoa,2023-12-12,1.6364543,0.0
itapoa,2023-12-13,1.6280112,0.0
itapoa,2023-12-14,1.609163,0.0
itapoa,2023-12-15,1.6334176,0.0
itapoa,2023-12-16,1.5011942,0.0
itapoa,2023-12-17,1.3825598,0.0
itapoa,2023-12-18,2.0183158,0.0
itapoa,2023-12-19,1.9173949,0.0
itapoa,2023-12-20,1.8448167,0.0
itapoa,2023-12-21,1.7744389,0.0
itapoa,2023-12-22,1.8342767,0.0
itapoa,2023-12-23,1.5832226,0.0
itapoa,2023-12-24,1.4203088,0.0
itapoa,2023-12-25,2.1964116,0.0
